"ID","Text","Label"
"467","my phone dont get no signal at work shit is for the birds",1
"336","ive been phoneless for only a day and a half but its already weird, holy crepes",1
"330","My dad has one job when working from home, which is to answer the door to deliveries and he only goes and misses my PHONE. It has been 5 days with no phone someone actually save me",1
"431","Honestly what did folk do withoot phones, had no signal since this morning and felt absolutely lost withoot it ps @ThreeUK hope yous aw have a shite dinner",1
"240","Suprise suprise they aren't answering the phone @ThreeUK disgraceful service. Still no signal what a joke. Try unplugging it and plugging it back in again. That's what your always telling us to do. How much longer? https://t.co/ZOIt0leMxx",1
"65","@ThreeUK That's is wrong because I just turned my phone off and then on again still no signal",1
"166","FINALLY its goodbye to @ThreeUK after having little to no signal for the last year! I cant wait to leave this network behind",1
"301","3 has got to be the worst network!! No signal or 3G since 10oclock last night😡😡😡 #threedown",1
"209","getting drunk with no phone and no man.....ima explode tonight",1
"190","@SimmerSuzy13 The no phone panic is so horrible!But omg fridge  GLAD ITS FRIDAY!",1
"236","@ThreeUK frustrating as there's no signal. Had to come home after school run to check my WhatsApp and emails as most of my work communicatiin is via them. On call with 3 support for 30 mins still waiting. Pathetic as nothing has been communicated by three",1
"64","Finally, I'm back!!!! Having no phone for more than a week is very difficult! 😫",1
"350","Left my phone at home this morning. I'm sad to say I'm feeling pretty lost. #Phoneless #SophiesPhoneHome #SoThisIsWhatSilenceSoundsLike https://t.co/J3TtnZX6Kr",1
"298","So once I step out again I'll have no signal. Ffs",1
"39","Noticed the energy I feel is less dense when I go out phoneless, the irony.",1
"322","Was that a bout of nomophobia, @LABeachGal1? My low-battery anxiety usually kicks in at about 19%, so that's why I thought this was a fascinating idea https://t.co/R44E9Wuk0S #article thx",1
2,"my phone broke this morning so ya happy fucking birthday people....fuck ! iam poor and no phone, matbe i should being antisocial until i get another one (it never gonna happens) k bye",1
"351","Joke of the day...@Airtel_Presence @airtelindia .. Airtel agree that their network is not upgraded till now.. But still no signal even they upgraded. https://t.co/BRcESQATwM",1
"67","Having no phone and using this iPad is TRASH",1
"278","Going to a play .. no phone for 3hrs.. worms in my brain are staging protest",1
"289","@ThreeUK how long till its sorted.. 😡 having no phone at all isn't great!",1
"436","I really do not wanna go get no phone  shit blowing me",1
"272","@ThreeUK @ThreeUKSupport @Ofcom Sort out your god dam network it's keep going off and on and getting no signal. I'm filing a compliant and want two months worth of free bill. Outrageous complete out of order no communication from you. #ThreeUK #threenetwork #threedown",1
"232","@Airtel_Presence @airtelindia fucking worst network you are providing... no signal inside my house and you guys doin nothing.. jus showing fucking fake ads telling largest network on tv... gonna port out now.. switching to @VodafoneIN",1
"315","Yo @ThreeUK you good ???? Why am I halfway across the world with no signal. Do you people want me to get kidnapped or what",1
"348","This no phone shit starting to throw me off",1
"353","Anyone else on @ThreeUK got no signal. Nightmare.",1
"11","@ThreeUKSupport not very good when we have had no phone signal since yesterday ",1
