,Text,W_Label,W_comment,Label,Comment
0,"No internet, no network connection, my phone was still on silent mode. https://t.co/0wKJIOymOi",Irrelevant,,0,No Fear or Anxiety due to lack of online network or internet connectivity.
1,"Beta News | ""Microsoft confirms that most Windows 7 users won't get a critical Internet Explorer security patch"" https://t.co/Be0eHgKi3j",Irrelevant,,0,tweet about microsoft security patch
3,Alayah not understanding how a group of girls locked up with no phone access aren’t up to date on viral Bachelor gossip #TheBachelor https://t.co/ZO3KaOn8s4,Irrelevant,,0,It talks about viral Bachelor gossip
4,"These Republicans never want to do any ""real work"" for all the money they're paid! - GOP senator asks tech audience for sympathy over Trump impeachment trial's no phone rule https://t.co/narjHKDyRp",Irrelevant,,0,Tweet related to political policy
5,Def how he passing the time w no wifi out there https://t.co/CFkqrWibtL,Relevant,,0,"questioneer tweet on being without wifi but no expression of fear,anxiety"
6, @poponjer @ap_cdn also Jer... I read no internet leading up to the premiere. course correction after Skywalker. (Enjoyed the latest SW podcast),Irrelevant,,0,Tweet related to podcast
7, @XboxSupport my Xbox is not visible on the monitor. it just says hdmi no signal. are you able to help?,Irrelevant,,0,No signal complaint on Xbox 
8, @Ask_Spectrum I sent a dm to you... no internet,Irrelevant,"Frustration over not having internet(The tweet says about sending direct message to spectrum ,no emojie or expression in tweet)",0,Providing information on no internet connection
10,@JeffreeStar @shanedawson I can’t wait omg. I was out of the country with no phone when it launched studying environmental sustainability and it’s the first launched I’ve missed!,Irrelevant,,0,Tweet about Environmental sustainability launch
11,Look at the signal...no signal..🙄 https://t.co/nNyyFt8jLY,Irrelevant,,0,Tweet about having No signal
