ID,Text,Label
66,"Completed restoration? This is bullshit. My line has been down since Oct. 1 and it was NEVER restored—no Internet, no dial tone. @PLDT_Cares @pldt @PLDTHome @iamMVP https://t.co/xOVru9RTk6",1
53,This no phone thing is killing me😭😭,1
70,"my phone broke this morning so ya happy fucking birthday people....fuck ! iam poor and no phone, matbe i should being antisocial until i get another one (it never gonna happens) k bye",1
274,Go home sick.   No internet.  Shoot me.,2
131,@bt_uk I've gone 3 weeks with no internet and was really looking forward to having it again! It's like living in a cave!,2
115,"All of the Heights are has no internet/ no service!!! I had to drive like 10min to find signal. I don’t want to go back to work, it’s sad without internet 🥺",2
5,"No internet, securedI PAY FOR THIS WIFI EVERY MONTH AND IT DOESNT FUCKING WORKI'M JUST TRYING TO STUDY https://t.co/S3waWJ5u5T",3
94,"@HeyRhett @DarkChoculet @cryptogemini05 @garciaanggee @MrMichaelNye @redspyder7 For me , One of my priority in  budgeting  is internet 😁 No internet is like No income for me...I hope there's improvement in internet speed too. Need to spend $2 per week to maintain it.. 😁😁",4
202,@Chico3DSquirrel I am absolutely devastated.  I have had to say goodbye to my iPhone   That is why I did not come back on last night.  Something had gone wrong in the connection of the phone for charging. Problem with iphones they cost so mu;ch to get mended.  I had no phone,5
76,"Rajasthan Day 4: Remote village of Madhogarh, where we stayed in a castle on a hill. Told to imagine we had gone back to 1930s... no internet, phones, hot water, but a fantastic room and stunning views in every direction. https://t.co/mq0ZFoLkLq",5
293,Home alone No internet or cable Joeys renting me out of big dick energy:,5
270,"@ThreeUK hi, it’s there a reason that your phones do not work in Leeds city centre? No signal at all. Struggle to text, Tweet, use google maps and apps. Just upgraded to a new phone thinking that would help but it’s just as bad. Useless.",5
218,ooof @ harry being all active while i’m away and have no internet most of the time :(((,5
101,3 has got to be the worst network!! No signal or 3G since 10oclock last night😡😡😡 #threedown,5
140,Going to Jamaica no phone. @shugacain wya,5
91,@jessicalanyadoo woke up to no internet and I've had an interesting day with social media posts...,5
272,@GardenBloKK On god fam ion play 😂😂😂 shawty wouldn't be stunning no phone wit me,5
36,#NAME?,5
191,who started the rumor that having no phone can stop me from not paying attention in class https://t.co/MuHlNsHAsb,5
17,@VodafoneIN I have no network or even if I get network there is no internet speed. Attached speedtest report. Using Iphone 6s Plus. iOS 13.1.2 https://t.co/NeARgFh5JY,5
121,"Wait, no internet, no text, no google, no Facebook, My god how did you survive?  What did you do? #scifi #science #fiction #adventure #book #fantasy #amazon https://t.co/HQCBUDKDl9",5
294,@0fun_ashlie No internet?!?!? How will you survive??? 🤪🤪🤪,5
285,@_pariah @ThreeUK Yes that's an issue and sadly that could happen with anyone. I have often wondered if thinks like crisis intervention teams etc shouldn't be available like 999 when there's no signal etc,5
151,Internet Addiction is highly damaging and can ruin a child’s life literally. Do not give screen to kids. #addiction #digitaladdiction #digitaldetox #happiness #FridayThoughts #MakeHappyFoundationhttps://t.co/h118L2wN5O https://t.co/36immC8iNj,5
163,Entering a no signal zone byeee,5
185,@Moubayed11 Doesn’t change the fact that they’re bad in the defensive zone. Matheson backing away from the attacking puck carrier. There’s no communication out there and it’s obvious.,5
88,So I saw a guy today at Starbucks.. no phone no tablet no laptop. Just sitting there drinking coffee .. like a psychopath 😂😂🤷‍♀️🤷‍♀️🤷‍♀️,5
106,"@wyldegoosechase In CA gold country, if you don’t have a land line, no 911. No power, no phone, no internet, no contact. PG&amp;E is risking lives because they don’t know how to manage a power grid. #outage Time to make them a PUBLIC utility.",5
180,@JustZayy Lmao same except for I won’t fall asleep on no phone with anyone. Just come over and sleep,5
212,@sane_indian @sardesairajdeep My fumble is from Srinagar. But still he is fine and recently he called us thru telephone landline from BSF help and told no to worry and he is taking his school kids with out having any issues even no internet. We are also have faith with govt. Kashmiri’s not came from moon,5
259,"Please don't leave home on our behalf, in fact why don't we help you find a nice quiet nursing home in the country with no internet and daily sedatives. https://t.co/kBgFJlEQ8O",5
119,@BUSANB0Y__ they aren’t allowed to use cell phones. no internet. no travelling outside nk. h e ll it is.,5
221,@Tarie2604 Are u supposed to figure that out by yourself? If u find yourself doing so there is no communication betwn the 2 of u 😳Why should u always think there’s something wrong with u? Low self esteem huh??? I hear of that a lot. u are not going to want each other at e same time alwyz,5
84,"@EricaJong @POLITICOMag Without a doubt, Steve Bannon is the sleaziest person in politics today. This bastard ditched his wife and daughter for a year and a half, no child support, no address, and no phone number. During that time, he had $500k  in his checking account.",5
291,"""I just noticed lately that i've become that person that everyone keeps saying to """"Hey man !! Let's keep in touch,we should hang out sometime and have fun."""" But then no phone calls no texts.Sad but True...🤷🏻‍♂️""",5
179,In the forest with no signal *sigh* I should just sleep,5
195,"As a child my dad re-married, months later he called and said his wife didn't want us around anymore and he wasn't allowed to see us. No more Xmas, no bday cards, no phone calls. My mother an abusive alcoholic claims we had a wonderful childhood. Not sure why I'm so screwed up 🤔",5
