"ID","Text","Label"
"8486","@WhovianLeap Got no signal.....bloody Vodafone.","1"
"14367","#GoBackModi the unprecedented pain and suffering of Kashmir ppl with no internet and communication cut off for almost two months and children held in custody I think this anger against Modi is fully justified","1"
"6102","Having no phone and using this iPad is TRASH","1"
"4439","No signal 3 is skatty as fuck","1"
"1513","@ThreeUK That's is wrong because I just turned my phone off and then on again still no signal","1"
"1491","Finally, I'm back!!!! Having no phone for more than a week is very difficult! 😫","1"
"9383","Never use @Postmates. Their lack of communication is horrendous. They messed up our order by having the wrong driver pick it up. They provide no easy way to reconcile. No phone number. They just called us and said to contact basic number. No easy support.","1"
"6981","No Communication For Hours Is A Turn Off , I Hate INCONSISTENCY ‼️","1"
"10336","@Uber_India @Uber_Support @Uber it’s really atrocious no replies no communication nothing. Has been done by Uber to handle the issue . The issue is a big one and to be taken seriously yet nothing has been done still about. Not a single call to address my issue","1"
"1232","This is boring no call or text to pull up no phone calls just been get my shit together day by day","2"
"4570","@ThreeUKSupport when will the network be sorted as I'm abroad and have no internet and signal, have had this problem since around 3 o'clock yesterday afternoon","2"
"3062","He usado Shazam para descubrir Rock With You, de Michael Jackson https://t.co/9HfcGc5VTn #OffTheWall  (1:44am,17/10/19)now only temporary WiFi i can tweet real nightmare to have no Internet😣 @michaeljackson @whoisitbad @TheMJCast @TheMJLegion #MJFam #SquareOneMJ @RadioRockAndPop","2"
"4379","@ThreeUKSupport my phones totally down keep getting no signal can’t text , call or use internet","2"
"7016","Having slow mobile data speed and no internet makes visiting Twitter rather difficult. Who knew?","2"
"1152","@huffman I hated that place - we had no internet or cable - I went fu-king crazy #Bullshit","2"
"134","God😢 After all my preparations to watch Headies tonightIt started raining and now there is no signalDStv management pls do something 😭😭😭 #headies2019","3"
"11713","@PLDT_Cares Ref# 31587172 - No dial tone since sunday and no internet since yesterday right after paying our bill.","3"
"5937","@fras99 A cage in an immigrant detainment facility for life without parole and no internet or tv","3"
"14695","Anybody else have no internet since last weekend? HNGGGG","3"
"11915","No internet connection in the train.  Dammit","3"
"2980","@finleyjd Yikes! Our power was out only 3+ hours. But the Internet was out all day. No internet also = no phone. (No cell service here!) Had to drive into town to find out school was cancelled. #ruraled #ruraledchat #nhed","3"
"1983","@PLDT_Cares Hi! No internet suddenly?! Paid on time, but why! And no one is answering cust svc hotline. What. The. Hell.","3"
"1363","#NCAAF 10/185* Marshall +4½ (-110)Sorry for the late post sent it earlier in an area with no signal and it didn’t go through. Let’s roll. #UFCBoston play will be out shortly.","3"
"2326","@FreedomMobile no internet network service in Mississauga?","3"
"3977","@mariebudgie1 I had that the other night off Sky. No Internet or land line.","3"
"4555","@BBCBreakfast I’m unable to use any thing with my phone. It started going weird on Monday with loss off signal for short periods of time and data going down I thought it was normal to wake up with NO SIGNAL USE at all!","3"
"9266","@SkyHelpTeam our broadband is completely down. Lights are green, yes it's plugged in yes the WiFi is connected but there's no internet access at all. I've tried a soft reset and now a hard reset but no change","3"
"4829","@BBCBreakfast Yes, all our phones have no signal (myself &amp; my two children), unable to make or receive calls and texts 🤷🏻‍♀️ @ThreeUKSupport","3"
"10645","Survived 2 weeks with no internet 😵","3"
"4913","@BBCBreakfast Been down since half 11 last night in Burnley, working nights with basically no phone to use is painful. Wouldn’t even mind if they just communicated with us! Shocking behaviour @ThreeUK  #threedown #threemobile #ThreeUK","3"
"902","@ThreeUK Please help me out here, my phone still has no signal despite turning it off and on countless times. I've even traveled from the I.O.W to Surrey with still no sign of any signal. To add to this, my three phone number was meant to be transferred from my old three sim","3"
"7112","really have no internet still but this fucking movie on my computer I forgot I had? it's fate https://t.co/wYJFpaMsa5","3"
"9529","Now the worst part is I am facing horrible connectivity and no internet ,thanks to #Idea . I can’t make calls , signal poor ,call drop and no internet .Why should I face burn of your merger when Idea can’t improve its connectivity .@Idea @VodafoneIN @idea_cares @VodafoneProbs","3"
"2161","@Zuku_WeCare kindly check ac 263051...no internet","3"
"5993","Me this weekend. No phone. No nothing. Just peace https://t.co/F1eGDp2eL6","3"
"5756","There is NO internet in my current airbnbWhich means no ffxiv tonight ))):","3"
"5375","Just hooked everything back together after painting and there’s No Signal ☠️ https://t.co/uJN4y6jlhS","3"
"13960","RIP BT ;( anyone else getting issues? Customer support says there's general issues across the whole BT service today, got no phone or internet.","3"
"14029","@Idea your network in Hinjewadi sucks. Last 1 month had been a headache for me. Every time I have to restart my phone to get the network on 4g. If you can’t provide service to customers then kindly stop looting us. @TRAI kindly punish them! You can see despite 4g I’ve no internet https://t.co/nfnAFwQ1qK","3"
"11315","@Three_Is_Broken @ThreeUKSupport @ThreeUK The only reason I'm staying with them is because they are the only network that will give me 5G at no extra cost but other than that it's annoying having no signal 😡😔","3"
"15380","@TimelineAmbush @sonictyrant Ugh. I’m so sorry I missed this. I had it on my calendar, but I was in an area that literally had no signal or anything and I couldn’t get Twitter to load.","3"
"10938","@CofekRebranded @SafaricomPLC I have been buying internet bundles From Safaricom for the last three days but there is no internet. Safaricom should be forced to compensate us. I am speaking for the silent majority.","3"
"11369","@SKYserves Why is there no internet connection at davao city?????","3"
"2491","@ACTFibernet Too much disappointed with the service. This is the fourth time in this month that the internet is not working. Almost 5-6 days no internet for me. Still I have to pay the bill. They say it is known issue but still takes more than 48 hrs to resolve. 🙏🏻🙏🏻....","3"
"285","@ACTFibernet In the evening, I called your customer care where (AGAIN!!!) I was given a false assurance that it will be fixed in sometime but there’s still no internet. Your services are pathetic &amp; stop lying and giving false assurance","3"
"4611","No internet in Cardiff this morning on @ThreeUK or is it just my phone? Had this issue on and off for a few days now...","3"
"12866","So wide awake at 5:20am and to make matters worse no Internet https://t.co/h4mtMMThZ5","3"
"9022","Jammu And Kashmir: After 72 days 4 million off the 7 million mobile phones receive voice services, but no internet yet. #JammuAndKashmir #Jammu #Kashmir https://t.co/2slBLRfTdp","3"
"3858","@ThreeUKSupport any reply would be nice. First I wasnt allowed the new airpods when I ordered the samsung phone in the correct dates, and now no internet access, cant use my PayPal machine. Cheers, I've lost so much","3"
"13153","Now my internet is fucked up; ethernet shows no internet and i go to adapter settings and it says cable unplugged idk what to do","3"
"4869","@ThreeUKSupport  Hi can you please help I have had no internet so CE early this morning ( I have tried multiple reboots ) and my wife and kids hame the same problem ☹️","3"
"13305","@sprint what is this? Why do I have 4g data and no internet? https://t.co/SMRmUp8vCA","3"
"2317","No internet since weds. Can't watch streams on twitch 😥","3"
"9255","@Kinesin_Loot @SkyHelpTeam @TerryBlaney62 My service status says everything is ok but I've got no internet","3"
"15148","Slow to no internet connection in my own apartment?!?!?! Just shoot me in the nuts while ur at it :/ I’m a Taurus. Next to perfume, this is my most important first world necessity damnit !! https://t.co/ecqSiix2lH","4"
"1492","Happening rn: no internet or TV since 8am and Sprint data is out too. I'm roaming on another carriers network at stone-age speeds. &gt;:(","4"
"3202","Virgin sim internet Downloads speed  and upload speed some times more less speed internet keep dropping connection sometime no signal https://t.co/Jl71P7SbgV","4"
"8465","Today is Tuesday and there has been no internet since last Friday @FLOWJamaica ... why this always a happen ?","4"
"5511","@iiNet is your Canberra connection down or is it our modem? No phone and intermittent internet.","4"
"15338","I have to work the next three days and I’m a waitress so no phone at work for me like at all. My boss gets pissed everytime I even ask for a look on my phone. I’m so gonna miss something @Harry_Styles will do during the next days🥺😭😭","4"
"13462","""Switched to @Spotify from @AppleMusic and what a mistake. @Spotify keeps saying no internet connection. Not worth $10 a month, back to @AppleMusic where """"it just works"""" everyday.""","4"
"13310","Mauricio is on a retreat and has no phone signal so it looks like I wont get to talk to him or snap him for the next 2 days AND I ALREADY WANNA SCREAM","4"
"3904","Welp so much for getting to work early...😳😁😤 Power dip in the building... Lines down.. No internet... No nothing.. Grrrrrrr...","4"
"7161","I just spent half a week with no internet and I realize I'm a bitch.","4"
"12015","Tikona has no internet service and it gets down in every 12 hours, countless trouble tickets with no resolution. I'm not getting internet and still forced to pay internet bills, Location: Andheri (Mumbai) @TikonaTIL @TRAI @DoT_India @jsdeepakias https://t.co/VwHzt5ccC6","4"
"14507","@btbusinesscare no internet in my office and your NET team have been horrendous since Monday. We need an engineer. TODAY!","4"
"14574","And in fact, I tried to send that last night with no internet so it’s been over 11 days now. Can’t do food shop online, can’t pay credit card bills so getting charged interest (!!). Probably best I don’t continue cos I’m SO angry. @TalkTalk","4"
"13821","I’m so over being phoneless that I’m ready to just walk into T-Mobile grab whatever phone they have and call it a day.","4"
"6252","Working on some sick edits, but my pc has no internet, my fucking wlan works but lan not, and my pc has no wlan btw...","4"
"917","@selfawaresoup @la_mafaldita Ever travelled from Munic into Austria? By train (DB...😭)? There is virually NO internet reception before crossing the Austrian border, except when finally reaching some town. But, as soon as in Austria, zack, 4G (to be fair, nothing in the tunnels on the Austrian side).","4"
"10138","$350.00 plus a month for this crap!! Today she's had no signal for over 5 hours, but still has a bill!She signed up for TimeWarner $92.50 monthly bill @Ask_Spectrum takes over hikes her bill without permission or knowledge to over $350.00 a month!An 85 yrs old bedridden woman https://t.co/zZdWRoF1JA","4"
"1772","I hate that there’s no signal at the aquarium. What the helllll","4"
"3012","@TheLondonEye Hi - I am trying to book some tickets but the website is not working and you have no phone number to call.  Please Help?","5"
"5818","@shazWeb44 Yes thanks hunny really well just got back from Tunisia after 2weeks away  no phone or tablet just total relaxation,back to reality soon though 💋💋💋💋❤️❤️❤️❤️❤️","5"
"13181","I’ll be away for the weekend and potentially have no internet for 4 days. So until then. Bye 👋","5"
"8839","@RevolutApp is there a way I can manually add an expenditure to the app. I’m doing a month where a lot of my spending goes through your app and one place had no signal on their card machine so I spent some cash that I would like to add the the expenditure report.","5"
"9363","I cant stand a gossiping ass female with  no communication skills . Mind your fucking business.","5"
"6709","@Eskom_SA @CityofCT and I see an article from last month saying there is struggle due to people opting for off-grid electricity??? That’s YOUR problem not ours. No organization. No communication. Just disappointment as per usual","5"
"7770","@notvalid302 @amnrfqhsm Dm aku x funtion la. Kne verified no phone. Dm contact la","5"
"9217","@paul_lander They’re actually phoneless booths. You have to bring your own equipment.","5"
"3412","@aristondo_g @byzantinepower Not even that. There was no phone or Internet or printing press.It took 500 years for the schism to materialize, end of 17th century, which jibes with Battle of Vienna 1683.Up until then inter communion continued.","5"
"14025","So high in da hills you get no phone calls","5"
"1140","@SKYserves @SKYserves pls check dm. no internet since ystrday. i need to work. 671450248","5"
"5629","@hippxe @FLOWJamaica Restart and it should be fine. I saw no signal for bit but I’m back up now.","5"
"9589","On a slow, wet day I found myself wondering, for no particular reason, how many famous people, celebrities (whatever that means) enjoyed walking/hiking. I could find no internet reference point and so decided to create one. See https://t.co/5NJ3lQOcXVAny recommendations welcome.","5"
"441","The kids think there’s no signal but I’ve found a corner and yes, that is our boat. https://t.co/IdYdGl7IqY","5"
"1434","I been having a phone since the 3rd grade . This the first time i been phoneless n im enjoying it","5"
"1428","""When you crack your phone screen and @USCellular says they will overnight you a new phone: 😊When its been 5 days and no phone so you call back and get told """"oh, they didn't tell you they were backordered? Our bad. We don't know when you will get one"""": 😠 Thanks USCellular 🙄""","5"
"5181","Can someone be my pen pal? I want to write letters. Legitimately. No emailing, no texting, no electronic stuff, no phone calls, no morse code light signals. I'm sending you a closed envelope with my personal writing entailed. Dm if youre up for it.","5"
"2075","@NortonSupport That link is back to the site, there is no phone number. Please provide me with a number I can call","5"
"12172","Also, I hope I get back my data, asap. I am being paranoid and losing patience with no communication from your side regarding this issue.I had a lot of content on my page, and a lot of time, energy and money was put in. I don't want to hear any regrets from your side. https://t.co/ePHGbdb7sk","5"
"10260","@MonaScotia @IlhanMN @AOC Go to your room. No internet for a week.","5"
"13218","@AlecKazamm I live on a boat with no phone service and internet connection I’m good bro","5"
"14454","Indian Railways are like belgaadi because I got stuck in this train (12203-Garib rath exp) which is late by 15 hours and there is no communication why is it? #garibrath #trainno12203 #PiyushGoyal #acchedin @RailMinIndia @RailwaySeva @PiyushGoyal","5"
"6394","In 2019 there has to be a better way of distributing tickets than what we've seen at Celtic this morning.No phone queuing system.Hundreds waiting in the rain with no updates.Zero communication from the ticket office or the club.For a business this size it's beyond belief.","5"
"8650","@Yetanotherrando @CttlD @TheKouk Don’t mean to brag (yes I do) but I thought up the idea of airbags in 1965 - no internet &amp; didn’t know any engineers so no way to tell/ask anyone. Now we can happily make fools of ourselves with our ideas on Twitter. 😂","5"
"7785","@Redheadedchinny No internet in the 60s-80s. The toxic assholes could only spew their venom to their friends while huddled in their mother’s basement. Now, they feel powerful because they can upset everyone with little effort. But they’re still losers hiding in a basement.","5"
"13972","For the first time in six weeks I have no phone messages to respond to, I got all my cases called before court breaks for lunch, and the only work I have in the afternoon is to work on motions, GOD IT FEELS GOOD","5"
"6463","Nomophobia is the fear of being without your mobile phone or losing your signal.OhMayGASTOS MAHARRRRSOhMayGASTOS MAHARRRRSOhMayGASTOS MAHARRRRS","5"
"4021","So I'm frustrated because:- No communication from my MP- No movement on electoral reform- Piss poor rollout of legal cannabis- No serious plan to move from fossil fuels other than to move them from Alberta to elsewhere via rail or pipe- No regulation on usurious phone bills","5"
"5403","@AndrewErwin19 @Chime @Chime Your business practices are horrible. No phone support, no chat support, just holding people money hostage. DO NOT DO BUSINESS WITH CHIME!!!!!!!","5"
"15488","Do NOT use CASH APP.. My cousin used it and found over 3grand missing from his account (bank) and no phone numbers or information to contact. Bank will not refund the funds. No way to track where the money went.  @realDonaldTrump @tedcruz","5"
